ID,Tipo,Pregunta,Respuesta_Esperada,Respuesta_Obtenida,Acierto,Contextos
1,✅ En PDF1,¿Qué beneficios ofrece la virtualización en entornos empresariales?,"Mejorar rendimiento, seguridad, administración, continuidad del servicio, reducir costos, automatizar procesos, facilitar escalabilidad","En entornos empresariales, la virtualización se utiliza para reducir costos, automatizar procesos y facilitar la escalabilidad.",✅ Éxito (respondió correctamente),5
2,✅ En PDF1,¿Para qué sirven los laboratorios virtuales según el manual?,Ofrecer laboratorios seguros para pruebas y aprendizaje a estudiantes y profesionales,"Según el manual, los laboratorios virtuales sirven para ofrecer laboratorios seguros para pruebas y aprendizaje a estudiantes y profesionales.",✅ Éxito (respondió correctamente),5
3,✅ En PDF1,¿Qué tipos de hipervisores se mencionan?,Hipervisores Tipo 1 y Tipo 2,Se mencionan los Hipervisores Tipo 1 y Tipo 2.,✅ Éxito (respondió correctamente),5
4,✅ En PDF1,¿Qué aspectos mejora la seguridad y aislamiento en virtualización?,"Rendimiento, seguridad, administración y continuidad del servicio",No encuentro esta información en los manuales.,❌ Fallo (debería estar en PDFs),5
5,✅ En PDF2,¿Qué es la gestión de procesos en sistemas operativos?,"Campo clave que permite mejorar rendimiento, seguridad, administración y continuidad del servicio","Gestión de Procesos es un campo clave dentro de la informática moderna. Permite mejorar el rendimiento, la seguridad, la administración y la continuidad del servicio. En entornos empresariales se util",✅ Éxito (respondió correctamente),5
6,✅ En PDF2,¿Qué relación tiene la memoria y almacenamiento con la informática moderna?,"Es un campo clave que permite mejorar rendimiento, seguridad y administración",Memoria y Almacenamiento es un campo clave dentro de la informática moderna.,✅ Éxito (respondió correctamente),5
7,✅ En PDF3,¿Qué se menciona sobre la relación entre Host y Guest?,"Campo clave que permite mejorar rendimiento, seguridad, administración y continuidad del servicio","La relación entre Host y Guest es un campo clave dentro de la informática moderna. Permite mejorar el rendimiento, la seguridad, la administración y la continuidad del servicio. En entornos empresaria",✅ Éxito (respondió correctamente),5
8,✅ En PDF3,¿Qué ventajas tienen los backups y la recuperación?,"Mejorar rendimiento, seguridad, administración y continuidad del servicio",Las ventajas de los backups y la recuperación son: *   Mejorar el rendimiento. *   Mejorar la seguridad. *   Mejorar la administración. *   Mejorar la continuidad del servicio. *   En entornos empresa,✅ Éxito (respondió correctamente),5
9,❌ Sin información,¿Cuál es el precio de VMware Workstation en 2026?,No encuentro esta información,No encuentro esta información en los manuales.,✅ Éxito (NO alucinó - correcto),5
10,❌ Sin información,¿Quién creó el primer sistema operativo con inteligencia artificial?,No encuentro esta información,"ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please ",❌ Error técnico,0
